ID;Species;Interaction;Longitude;Latitude;Year_collect
343;Eulaema_meriana;host;-59.72778;-24.07222;1990
345;Eulaema_meriana;host;-44.41667;-2.383333;1993
347;Eulaema_meriana;host;-76.19;-5.97;1987
1;Eulaema_nigrita;host;-35.84166667;-8.713333333;2012
2;Eulaema_nigrita;host;-35.84194444;-8.738888889;2012
3;Eulaema_nigrita;host;-35.84055556;-8.995555556;2012
4;Eulaema_nigrita;host;-35.84;-9.001388889;2012
5;Eulaema_nigrita;host;-35.845;-9.0025;2012
6;Eulaema_nigrita;host;-35.87777778;-9.218333333;2009
7;Eulaema_nigrita;host;-35.83888889;-9.247222222;2012
8;Eulaema_nigrita;host;-39.24888889;-13.83361111;2009
9;Eulaema_nigrita;host;-39.22638889;-13.84555556;2009
10;Eulaema_nigrita;host;-39.13722222;-14.49638889;2009
11;Eulaema_nigrita;host;-39.13277778;-14.49638889;2009
12;Eulaema_nigrita;host;-39.17277778;-14.79527778;2009
13;Eulaema_nigrita;host;-39.065;-15.16861111;2009
14;Eulaema_nigrita;host;-39.06166667;-15.17388889;2009
15;Eulaema_nigrita;host;-39.06694444;-15.18333333;2009
16;Eulaema_nigrita;host;-39.56694444;-15.39444444;2010
17;Eulaema_nigrita;host;-39.12694444;-16.33527778;2009
18;Eulaema_nigrita;host;-39.11194444;-16.36916667;2009
19;Eulaema_nigrita;host;-40.99361111;-16.35083333;2009
20;Eulaema_nigrita;host;-40.9925;-16.38972222;2009
21;Eulaema_nigrita;host;-41.09194444;-16.35;2009
22;Eulaema_nigrita;host;-40.05388889;-16.41444444;2009
23;Eulaema_nigrita;host;-40.0475;-16.40611111;2009
24;Eulaema_nigrita;host;-40.06194444;-16.41138889;2010
25;Eulaema_nigrita;host;-39.28583333;-16.51972222;2009
26;Eulaema_nigrita;host;-39.22333333;-16.48222222;2009
27;Eulaema_nigrita;host;-39.75361111;-16.56611111;2008
28;Eulaema_nigrita;host;-39.52138889;-16.91416667;2008
29;Eulaema_nigrita;host;-39.55583333;-16.99916667;2008
30;Eulaema_nigrita;host;-39.52611111;-17.02361111;2009
31;Eulaema_nigrita;host;-39.41305556;-16.88527778;2009
32;Eulaema_nigrita;host;-39.41083333;-16.8825;2009
33;Eulaema_nigrita;host;-39.41555556;-16.87805556;2009
34;Eulaema_nigrita;host;-39.31972222;-17.12777778;2009
35;Eulaema_nigrita;host;-39.30166667;-17.11527778;2009
36;Eulaema_nigrita;host;-39.28361111;-17.10333333;2009
37;Eulaema_nigrita;host;-39.81833333;-18.26027778;2009
38;Eulaema_nigrita;host;-40.16361111;-18.3625;2009
39;Eulaema_nigrita;host;-40.13972222;-18.36805556;2009
40;Eulaema_nigrita;host;-39.855;-18.35777778;2009
41;Eulaema_nigrita;host;-39.8525;-18.38777778;2009
42;Eulaema_nigrita;host;-40.14861111;-19.04638889;2009
43;Eulaema_nigrita;host;-40.04916667;-19.14777778;2009
44;Eulaema_nigrita;host;-39.92083333;-19.14305556;2009
45;Eulaema_nigrita;host;-39.94222222;-19.18111111;2009
46;Eulaema_nigrita;host;-40.04222222;-19.15638889;2009
47;Eulaema_nigrita;host;-43.345;-18.11777778;2003
48;Eulaema_nigrita;host;-43.34972222;-18.1375;2003
49;Eulaema_nigrita;host;-43.34166667;-18.09055556;2003
50;Eulaema_nigrita;host;-43.3375;-18.13611111;2003
51;Eulaema_nigrita;host;-43.37083333;-18.12944444;2003
52;Eulaema_nigrita;host;-39.07222222;-13.36888889;1996
53;Eulaema_nigrita;host;-42.83333333;-10.8;1996
54;Eulaema_nigrita;host;-47.25;-21.39166667;1989
